city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,rent_amount,property_tax
São Paulo,106,2,2,2,1,not acept,furnished,1170,10600,334
Porto Alegre,92,2,2,1,2,acept,furnished,645,2100,2610
São Paulo,35,1,1,1,7,acept,not furnished,380,2200,100
São Paulo,70,3,2,1,3,acept,not furnished,1200,2900,25
São Paulo,74,2,1,2,9,acept,furnished,1100,6600,424
São Paulo,69,2,2,2,5,acept,not furnished,853,1900,210
São Paulo,50,1,1,0,0,not acept,not furnished,0,830,0
Porto Alegre,450,5,3,6,0,acept,not furnished,0,4760,94
Rio de Janeiro,68,2,1,0,5,acept,not furnished,593,1000,400
São Paulo,71,1,1,1,11,acept,not furnished,1650,3000,238
Rio de Janeiro,69,2,1,1,9,acept,furnished,500,1370,56
Belo Horizonte,32,1,1,1,9,acept,not furnished,197,1500,126
São Paulo,57,2,1,1,8,acept,furnished,350,1800,50
São Paulo,28,1,1,0,1,acept,furnished,500,2200,72
São Paulo,39,1,1,0,8,acept,furnished,300,2000,0
Porto Alegre,140,3,3,0,2,acept,not furnished,750,1700,125
São Paulo,160,3,3,2,0,acept,not furnished,0,4500,209
São Paulo,235,3,3,1,3,acept,not furnished,2585,5150,575
São Paulo,171,3,2,1,13,acept,not furnished,1200,2200,300
Rio de Janeiro,139,3,2,2,1,acept,not furnished,2047,6000,540
Belo Horizonte,160,4,3,2,5,acept,not furnished,763,2300,230
Campinas,60,2,1,1,0,acept,not furnished,485,800,60
São Paulo,134,3,3,3,8,acept,not furnished,1680,2125,375
Belo Horizonte,70,2,1,1,11,acept,not furnished,897,1300,125
Rio de Janeiro,57,2,1,0,1,acept,not furnished,100,1530,0
São Paulo,240,3,3,4,6,acept,furnished,2600,5500,1834
São Paulo,50,1,1,0,0,not acept,not furnished,0,800,34
Rio de Janeiro,120,3,2,1,8,acept,not furnished,1470,3550,190
Porto Alegre,200,3,3,4,2,acept,not furnished,2900,1200,260
São Paulo,572,6,6,4,0,acept,furnished,0,7800,2359
São Paulo,145,2,2,1,1,acept,furnished,1463,4000,0
Belo Horizonte,70,2,1,2,1,not acept,not furnished,80,1200,97
Rio de Janeiro,85,2,2,1,2,acept,furnished,3700,8000,659
Belo Horizonte,140,3,2,0,2,not acept,not furnished,0,3000,202
São Paulo,260,4,5,5,6,acept,not furnished,3000,12500,1667
São Paulo,211,4,4,4,2,acept,not furnished,1800,3390,775
Campinas,58,2,1,1,2,acept,not furnished,280,650,0
Rio de Janeiro,110,1,1,2,3,acept,not furnished,1936,4500,341
São Paulo,72,2,2,0,10,acept,not furnished,820,1500,70
São Paulo,700,4,7,8,0,acept,not furnished,0,45000,8750
São Paulo,68,1,2,1,5,acept,not furnished,1040,6000,229
Rio de Janeiro,100,3,3,2,8,acept,not furnished,1167,2700,95
São Paulo,240,3,2,0,7,acept,furnished,1717,6500,444
Rio de Janeiro,104,3,1,0,6,acept,not furnished,784,3500,195
Campinas,70,1,1,1,2,acept,furnished,290,1600,70
São Paulo,67,1,1,1,14,acept,furnished,920,2600,72
Belo Horizonte,160,4,2,5,0,acept,furnished,0,3780,167
Belo Horizonte,64,3,1,0,3,not acept,not furnished,215,1400,27
São Paulo,140,3,3,5,8,not acept,furnished,2000,8000,710
Campinas,38,1,1,0,3,not acept,not furnished,376,750,15
São Paulo,34,1,1,0,12,acept,not furnished,372,2700,57
São Paulo,54,2,1,0,7,acept,not furnished,535,2001,0
São Paulo,54,1,1,1,1,not acept,furnished,1050,7200,250
São Paulo,200,3,2,4,0,acept,not furnished,0,3500,500
São Paulo,107,3,2,2,1,acept,not furnished,1122,2600,350
Rio de Janeiro,70,2,2,0,11,acept,not furnished,879,1550,77
São Paulo,20,1,1,0,5,acept,furnished,602,1800,130
São Paulo,86,2,1,1,5,acept,not furnished,1002,2340,0
Rio de Janeiro,30,1,1,1,0,acept,not furnished,0,1480,25
Porto Alegre,108,3,2,1,3,acept,furnished,826,2000,89
São Paulo,250,4,3,4,0,acept,not furnished,0,2700,154
São Paulo,80,2,1,0,4,acept,not furnished,740,2200,92
Rio de Janeiro,73,2,1,1,8,acept,not furnished,1022,1100,0
Porto Alegre,45,1,1,1,3,acept,not furnished,250,1205,72
São Paulo,45,2,2,0,0,not acept,not furnished,0,1650,84
São Paulo,255,4,4,0,15,acept,furnished,4000,2500,1484
Belo Horizonte,217,4,3,4,12,acept,not furnished,2644,6000,1177
São Paulo,70,1,1,0,2,acept,not furnished,472,1870,0
São Paulo,25,1,1,0,1,not acept,not furnished,0,885,0
Porto Alegre,110,3,3,0,1,acept,not furnished,400,3250,75
São Paulo,80,2,2,1,12,acept,not furnished,1200,10000,109
São Paulo,260,3,5,0,0,acept,not furnished,0,9000,634
São Paulo,50,2,2,1,10,acept,not furnished,624,2700,82
Campinas,60,2,1,1,1,not acept,not furnished,430,815,20
São Paulo,400,3,6,6,0,acept,furnished,0,6500,375
São Paulo,113,2,1,1,4,acept,not furnished,1000,3000,50
São Paulo,400,4,4,6,8,acept,not furnished,3900,8000,1750
Porto Alegre,64,2,2,2,6,acept,not furnished,450,2250,50
São Paulo,82,2,1,2,10,acept,furnished,2020,3100,333
São Paulo,65,2,1,3,9,acept,not furnished,800,2000,217
Porto Alegre,128,4,3,2,3,acept,not furnished,1160,4900,409
São Paulo,38,1,1,0,1,not acept,not furnished,60,950,0
Campinas,175,3,2,0,0,not acept,not furnished,0,2000,0
São Paulo,107,3,3,2,3,acept,not furnished,1600,4500,417
Rio de Janeiro,257,4,3,2,3,acept,furnished,3250,3800,709
São Paulo,35,1,1,1,2,not acept,furnished,550,3250,30
São Paulo,463,4,7,6,0,acept,not furnished,0,12000,1264
Rio de Janeiro,40,2,1,0,7,acept,not furnished,335,920,55
Belo Horizonte,297,4,2,3,6,acept,not furnished,2000,1870,209
São Paulo,137,3,3,1,9,acept,furnished,1247,5500,303
Rio de Janeiro,35,1,1,0,10,not acept,not furnished,498,1200,80
Rio de Janeiro,128,3,3,1,8,acept,furnished,950,3500,242
Belo Horizonte,59,2,1,1,2,acept,not furnished,190,1250,70
Rio de Janeiro,400,4,4,2,0,acept,not furnished,634,11480,1357
Rio de Janeiro,100,3,2,1,5,not acept,not furnished,980,4500,125
Rio de Janeiro,50,1,1,0,10,acept,furnished,680,2200,85
Porto Alegre,80,2,2,1,5,acept,furnished,740,1900,120
Belo Horizonte,68,2,2,2,4,acept,not furnished,230,1650,154
São Paulo,32,1,1,1,22,acept,furnished,2000,2000,416
Rio de Janeiro,161,3,3,3,14,acept,not furnished,1300,4500,640
São Paulo,85,2,2,0,0,acept,not furnished,0,1700,0
São Paulo,100,2,2,0,0,acept,not furnished,0,2500,274
São Paulo,136,3,4,3,7,acept,not furnished,1400,5000,117
São Paulo,362,4,5,2,0,acept,not furnished,0,7000,834
São Paulo,276,3,3,4,15,acept,furnished,3600,6500,1650
Rio de Janeiro,22,1,1,0,2,not acept,not furnished,50,1322,59
Porto Alegre,60,2,1,0,1,acept,not furnished,114,980,42
São Paulo,500,4,7,8,0,acept,not furnished,0,9250,1167
Porto Alegre,65,1,1,1,3,acept,not furnished,426,980,38
São Paulo,56,2,1,1,11,acept,not furnished,350,2600,0
São Paulo,35,1,1,1,4,not acept,furnished,300,2840,10
Porto Alegre,98,3,2,2,4,not acept,not furnished,700,2550,100
São Paulo,45,1,1,0,1,not acept,not furnished,0,950,30
Porto Alegre,48,2,1,1,2,acept,not furnished,300,800,35
Campinas,48,1,1,1,4,acept,furnished,490,1500,42
São Paulo,114,2,3,1,1,acept,furnished,902,7010,167
Belo Horizonte,197,4,2,3,3,acept,not furnished,850,4250,400
Belo Horizonte,200,4,1,2,4,acept,not furnished,345,2500,209
Belo Horizonte,110,3,2,0,0,acept,not furnished,0,2500,0
São Paulo,300,2,4,2,0,acept,not furnished,0,6000,419
Belo Horizonte,120,3,1,1,6,not acept,not furnished,1140,1900,140
Porto Alegre,40,1,1,0,3,acept,furnished,370,1084,46
São Paulo,92,2,1,1,7,not acept,furnished,690,3950,0
São Paulo,140,3,2,2,3,acept,not furnished,1640,5500,583
São Paulo,244,4,3,4,2,acept,not furnished,3460,7000,1000
Porto Alegre,59,2,1,0,3,acept,not furnished,326,1000,42
Rio de Janeiro,35,1,1,0,3,acept,not furnished,0,791,30
São Paulo,120,3,2,3,16,acept,not furnished,1400,2000,292
São Paulo,248,4,5,4,1,not acept,not furnished,2500,9100,250
São Paulo,63,2,2,1,17,acept,not furnished,783,1690,27
São Paulo,45,1,1,1,8,acept,not furnished,694,1800,172
São Paulo,129,2,3,2,16,acept,furnished,1100,2376,334
São Paulo,300,3,3,8,0,acept,not furnished,0,4675,400
São Paulo,29,1,1,1,4,not acept,furnished,650,2200,118
Belo Horizonte,100,3,2,1,2,acept,not furnished,745,1300,119
São Paulo,153,4,3,3,3,acept,not furnished,2500,5500,700
Campinas,87,2,1,1,4,acept,not furnished,780,1200,52
São Paulo,75,1,1,2,8,acept,furnished,976,7000,323
Rio de Janeiro,300,4,4,2,3,acept,not furnished,4100,12750,1334
Porto Alegre,48,1,1,0,4,acept,not furnished,340,700,300
São Paulo,56,2,2,1,4,acept,not furnished,500,2000,0
Campinas,71,2,1,1,7,acept,not furnished,670,977,114
São Paulo,84,4,1,3,5,not acept,not furnished,1914,6000,804
São Paulo,208,3,4,3,0,not acept,not furnished,0,3490,476
São Paulo,100,1,2,1,13,not acept,not furnished,1520,6000,348
São Paulo,84,3,2,2,7,acept,furnished,540,2200,71
São Paulo,145,4,3,2,1,acept,not furnished,1644,4800,500
São Paulo,300,4,3,2,0,acept,furnished,0,15000,1040
São Paulo,65,2,2,1,12,not acept,furnished,980,6000,250
São Paulo,27,1,1,0,0,not acept,not furnished,0,836,0
Rio de Janeiro,102,3,2,1,2,acept,not furnished,1900,1350,140
Campinas,60,2,1,1,1,not acept,furnished,385,2848,64
Porto Alegre,60,1,1,0,1,acept,not furnished,230,1286,70
Rio de Janeiro,50,1,1,0,10,acept,not furnished,520,1620,0
São Paulo,97,3,1,1,10,acept,not furnished,762,2300,25
São Paulo,52,1,2,1,19,acept,not furnished,1100,5000,210
São Paulo,373,4,4,3,12,acept,not furnished,4500,12750,1417
São Paulo,157,4,3,2,0,acept,not furnished,0,6608,492
Campinas,68,3,1,1,2,acept,not furnished,555,1100,50
São Paulo,172,4,4,3,15,acept,furnished,1650,8800,890
São Paulo,64,2,2,2,25,not acept,not furnished,865,3500,0
Rio de Janeiro,41,1,1,0,9,acept,not furnished,800,1700,85
Rio de Janeiro,106,2,2,1,2,acept,not furnished,900,2850,296
Belo Horizonte,150,4,2,3,1,acept,furnished,900,3300,340
Belo Horizonte,135,4,2,2,4,acept,not furnished,450,3500,117
São Paulo,350,4,6,6,0,acept,furnished,0,9600,1367
Belo Horizonte,360,3,1,3,0,acept,not furnished,0,1500,142
São Paulo,700,4,7,8,0,acept,furnished,0,15000,2250
Rio de Janeiro,100,2,2,1,6,acept,furnished,2400,8900,380
Belo Horizonte,50,1,1,2,4,acept,not furnished,300,1200,0
São Paulo,55,3,1,1,3,acept,not furnished,458,1300,0
São Paulo,215,4,4,2,10,not acept,not furnished,1950,6000,834
São Paulo,287,3,2,5,0,acept,not furnished,0,15000,0
São Paulo,58,2,1,1,3,acept,furnished,383,1500,43
São Paulo,90,3,2,2,10,acept,not furnished,850,1600,300
São Paulo,200,3,3,3,0,acept,not furnished,0,3315,241
São Paulo,65,3,2,1,8,acept,not furnished,650,2200,5
São Paulo,820,4,6,6,0,acept,not furnished,2500,10000,2500
São Paulo,102,2,1,0,3,acept,not furnished,538,2000,109
Rio de Janeiro,108,3,2,2,3,acept,not furnished,2000,4500,442
São Paulo,86,3,2,2,6,acept,furnished,800,3100,203
Campinas,210,6,3,0,0,acept,not furnished,0,4200,0
Belo Horizonte,140,4,2,2,4,acept,not furnished,995,4200,462
São Paulo,220,4,4,3,2,acept,not furnished,2500,4500,1042
Campinas,66,2,1,1,0,acept,not furnished,265,1100,34
São Paulo,389,4,5,6,4,acept,not furnished,4000,8500,1834
São Paulo,80,3,3,1,11,not acept,not furnished,934,1700,25
São Paulo,78,2,2,1,1,acept,not furnished,792,2200,148
São Paulo,178,4,2,5,0,acept,not furnished,0,6000,459
São Paulo,47,2,1,1,4,acept,not furnished,565,1140,64
Belo Horizonte,160,4,1,1,0,acept,not furnished,0,2150,0
Rio de Janeiro,25,1,1,0,1,acept,not furnished,50,700,0
São Paulo,80,2,2,2,0,acept,not furnished,50,1700,177
São Paulo,144,3,3,2,0,acept,furnished,0,5000,109
Campinas,400,5,7,4,5,acept,not furnished,3200,7900,888
Belo Horizonte,100,3,2,1,0,acept,not furnished,0,14500,423
São Paulo,48,2,1,0,2,acept,not furnished,90,1150,90
São Paulo,64,3,2,2,16,acept,not furnished,500,1530,34
Porto Alegre,50,2,1,0,0,acept,not furnished,100,700,100
São Paulo,50,1,1,1,11,acept,furnished,1140,5156,117
São Paulo,60,2,2,1,5,acept,not furnished,700,1465,100
Rio de Janeiro,180,3,2,1,2,acept,not furnished,2000,4800,377
São Paulo,339,3,3,4,0,acept,not furnished,0,3880,353
Campinas,54,1,1,1,5,acept,furnished,751,2350,127
São Paulo,420,4,6,4,10,acept,not furnished,5700,12000,3167
Campinas,350,4,5,4,0,acept,not furnished,680,8000,417
São Paulo,72,2,2,2,6,not acept,not furnished,800,3060,250
São Paulo,50,1,1,0,0,not acept,not furnished,0,800,59
São Paulo,450,4,4,4,0,acept,not furnished,0,11000,1417
Rio de Janeiro,60,2,1,0,6,not acept,furnished,800,2900,92
São Paulo,160,2,3,3,0,acept,not furnished,0,7500,417
Belo Horizonte,450,4,4,5,10,not acept,not furnished,2200,13500,1130
São Paulo,265,3,4,3,0,acept,furnished,0,3490,450
São Paulo,103,3,1,3,2,acept,not furnished,1054,3400,94
São Paulo,60,2,2,1,8,acept,not furnished,640,1650,0
São Paulo,136,3,3,3,15,acept,furnished,1450,7900,490
Belo Horizonte,45,2,1,1,5,not acept,not furnished,227,750,28
São Paulo,206,3,3,4,25,acept,not furnished,1800,12500,758
São Paulo,229,4,2,3,2,acept,furnished,1100,5500,409
Campinas,70,1,2,1,2,not acept,not furnished,450,1000,35
São Paulo,130,3,2,0,18,acept,furnished,1386,4500,574
Campinas,87,2,1,0,10,acept,not furnished,415,1100,82
São Paulo,200,4,5,3,7,not acept,not furnished,2750,6000,250
Rio de Janeiro,50,1,1,1,2,acept,not furnished,170,1320,0
São Paulo,120,3,2,1,0,acept,not furnished,0,3000,495
São Paulo,40,1,1,0,1,not acept,not furnished,600,1300,111
São Paulo,54,2,1,1,0,acept,not furnished,600,1800,129
São Paulo,48,2,1,0,2,acept,not furnished,100,1350,0
São Paulo,149,3,4,3,7,acept,furnished,1300,6000,550
São Paulo,45,2,1,1,14,acept,not furnished,270,1500,82
São Paulo,76,2,2,2,4,not acept,not furnished,850,2650,130
São Paulo,60,2,1,0,3,acept,not furnished,487,1850,0
São Paulo,118,3,3,2,5,not acept,not furnished,1800,9000,352
São Paulo,200,2,3,1,2,not acept,furnished,2300,13000,625
São Paulo,200,2,2,1,0,acept,not furnished,0,5000,0
São Paulo,138,3,4,2,18,acept,furnished,1500,10000,527
São Paulo,53,2,1,1,8,acept,furnished,950,1200,0
Porto Alegre,61,1,1,1,13,acept,furnished,1237,3800,104
São Paulo,135,3,3,2,7,not acept,furnished,1855,2800,641
São Paulo,50,1,1,0,0,not acept,not furnished,0,750,25
São Paulo,34,1,1,1,9,not acept,not furnished,1200,1300,100
São Paulo,218,3,3,3,17,not acept,not furnished,2300,4000,775
São Paulo,400,3,5,4,20,acept,furnished,3500,10000,1250
Belo Horizonte,25,1,1,1,1,not acept,not furnished,0,550,84
Porto Alegre,360,5,3,3,0,acept,not furnished,0,3500,0
São Paulo,72,2,1,1,9,acept,not furnished,990,2630,378
São Paulo,45,2,1,1,17,acept,not furnished,300,1600,34
Belo Horizonte,340,3,5,5,0,acept,not furnished,0,4600,211
São Paulo,130,3,3,2,0,acept,not furnished,0,3100,130
São Paulo,72,3,2,2,15,acept,not furnished,616,3000,245
São Paulo,50,1,1,0,0,not acept,not furnished,0,900,0
São Paulo,100,2,2,0,8,not acept,furnished,1100,4999,50
São Paulo,270,3,2,4,21,acept,not furnished,3200,13000,1250
Belo Horizonte,60,2,1,1,3,acept,not furnished,122,1325,0
Belo Horizonte,4633,4,8,5,11,acept,furnished,960,8500,646
Belo Horizonte,700,3,3,8,0,acept,not furnished,0,10000,807
São Paulo,550,4,5,0,1,acept,not furnished,2700,8800,0
Belo Horizonte,21,1,1,1,2,not acept,not furnished,1000,980,0
São Paulo,55,1,2,1,17,acept,not furnished,777,3800,100
São Paulo,40,1,2,1,28,not acept,furnished,1935,4200,318
Belo Horizonte,50,1,1,1,12,not acept,furnished,571,1500,100
São Paulo,52,1,1,1,15,acept,furnished,650,3950,290
São Paulo,46,2,1,1,6,acept,not furnished,280,1434,9
Belo Horizonte,20,1,1,1,0,acept,furnished,0,1100,0
São Paulo,50,1,1,0,0,acept,not furnished,0,1050,59
Rio de Janeiro,49,1,2,1,10,acept,not furnished,761,2400,133
Porto Alegre,440,3,2,3,6,not acept,not furnished,100,10500,84
Porto Alegre,59,2,1,1,2,acept,not furnished,382,900,62
Belo Horizonte,150,4,1,3,1,acept,not furnished,0,2300,0
São Paulo,100,3,2,0,7,acept,not furnished,750,2020,132
São Paulo,72,2,2,1,4,acept,not furnished,880,2100,27
São Paulo,500,7,7,8,0,not acept,furnished,0,9000,1667
São Paulo,264,3,5,0,0,acept,not furnished,0,6000,488
São Paulo,76,2,2,2,14,acept,not furnished,909,5500,299
São Paulo,16,1,1,0,1,not acept,not furnished,0,870,0
São Paulo,198,3,2,2,8,acept,not furnished,1400,3250,334
São Paulo,190,3,2,1,3,acept,not furnished,1600,4000,100
São Paulo,210,4,4,4,4,not acept,not furnished,2857,11500,1480
Campinas,233,3,1,1,0,acept,not furnished,0,2700,239
São Paulo,180,3,2,2,0,acept,not furnished,0,11000,150
Belo Horizonte,1020,5,4,6,0,acept,furnished,0,6520,654
São Paulo,320,3,3,2,0,acept,not furnished,0,7200,600
São Paulo,116,3,2,2,5,acept,not furnished,1884,3800,518
São Paulo,128,2,1,1,9,acept,furnished,1200,8500,9
Campinas,42,2,1,1,4,acept,not furnished,191,1020,0
São Paulo,70,2,1,1,6,acept,not furnished,660,3800,45
São Paulo,320,3,4,4,7,acept,furnished,3440,15000,1659
Campinas,77,2,2,1,9,acept,not furnished,725,1200,71
São Paulo,208,3,3,3,4,acept,furnished,2490,15000,1200
São Paulo,115,3,3,3,0,acept,not furnished,0,2400,71
Porto Alegre,60,2,1,1,1,acept,furnished,400,1300,25
Porto Alegre,50,1,1,0,1,acept,not furnished,200,1045,30
São Paulo,108,2,4,2,7,acept,not furnished,1289,4500,522
São Paulo,64,2,2,1,7,not acept,not furnished,1182,6950,276
São Paulo,178,3,2,1,0,acept,furnished,0,3500,130
Porto Alegre,53,1,1,0,2,acept,furnished,240,1480,42
Rio de Janeiro,118,3,2,0,2,acept,not furnished,1334,1560,210
Campinas,65,2,1,1,3,acept,not furnished,420,1250,53
Rio de Janeiro,180,3,3,2,6,acept,not furnished,2000,7000,475
Campinas,348,3,3,3,0,acept,not furnished,0,4850,400
São Paulo,150,3,3,1,3,not acept,not furnished,2229,4500,484
Porto Alegre,45,1,1,0,6,acept,not furnished,350,650,28
São Paulo,37,1,1,1,3,not acept,furnished,485,3300,13
São Paulo,540,4,4,6,0,acept,not furnished,0,5220,1542
Belo Horizonte,521,5,2,3,0,acept,not furnished,0,10000,743
Campinas,147,4,3,3,8,acept,not furnished,1600,4800,284
Rio de Janeiro,130,3,2,1,8,acept,not furnished,1889,2610,450
São Paulo,190,3,2,1,0,acept,not furnished,0,3700,0
Rio de Janeiro,28,1,1,0,16,acept,not furnished,1100,730,99
São Paulo,160,3,3,3,0,not acept,not furnished,1509,5850,528
Rio de Janeiro,310,3,2,0,5,acept,not furnished,2500,5200,595
São Paulo,530,4,5,6,0,not acept,not furnished,0,13000,0
São Paulo,59,2,1,1,9,acept,furnished,801,1200,0
São Paulo,800,5,4,8,0,acept,not furnished,0,14200,2250
São Paulo,77,2,1,0,3,acept,not furnished,590,2050,7
São Paulo,160,3,2,1,6,acept,not furnished,1500,4300,500
São Paulo,47,1,1,1,15,acept,not furnished,530,1800,0
Belo Horizonte,52,2,1,1,1,acept,not furnished,160,1000,0
São Paulo,60,1,2,1,2,acept,not furnished,1155,4000,112
Rio de Janeiro,120,3,3,2,9,acept,not furnished,750,3000,500
Belo Horizonte,55,2,1,0,2,not acept,not furnished,0,850,50
Campinas,110,3,3,2,0,acept,not furnished,560,3200,88
Porto Alegre,145,3,4,0,2,acept,furnished,250,2950,75
São Paulo,88,2,4,2,8,acept,not furnished,840,2300,379
São Paulo,49,2,1,1,11,acept,not furnished,350,2000,3
São Paulo,26,1,1,0,4,acept,furnished,550,3500,80
São Paulo,36,1,1,0,6,acept,not furnished,300,1600,60
São Paulo,150,3,2,5,0,acept,not furnished,0,2100,260
São Paulo,77,1,1,1,8,not acept,not furnished,0,5700,0
Campinas,60,1,1,2,0,acept,not furnished,0,1610,50
Rio de Janeiro,58,2,2,1,1,acept,not furnished,761,1190,105
São Paulo,145,4,4,3,14,acept,not furnished,1663,4500,584
São Paulo,408,4,6,3,20,acept,not furnished,2800,15000,1667
São Paulo,50,1,1,0,0,acept,not furnished,0,800,18
São Paulo,85,3,2,2,12,acept,not furnished,900,3300,116
Belo Horizonte,210,3,3,3,1,acept,not furnished,400,4200,242
Belo Horizonte,100,3,1,2,3,acept,not furnished,200,1646,73
Porto Alegre,68,2,1,1,6,not acept,furnished,480,1900,78
Campinas,42,1,1,1,16,not acept,not furnished,472,2000,75
Campinas,87,3,1,0,15,acept,not furnished,725,1300,105
São Paulo,40,1,1,0,1,acept,not furnished,240,950,84
São Paulo,50,2,1,1,4,acept,not furnished,540,1850,133
Porto Alegre,85,2,2,0,7,acept,furnished,660,2520,113
Porto Alegre,55,1,1,1,3,acept,furnished,550,1910,110
São Paulo,127,2,2,2,5,acept,not furnished,1550,5500,361
São Paulo,172,3,5,3,0,acept,not furnished,0,5800,607
Porto Alegre,75,2,1,2,2,acept,not furnished,380,1200,55
São Paulo,50,1,1,1,6,not acept,not furnished,500,3000,123
Campinas,120,4,2,5,0,acept,not furnished,0,4200,0
São Paulo,95,3,2,2,15,acept,not furnished,720,3490,167
Belo Horizonte,300,5,3,6,0,acept,not furnished,0,5200,334
Rio de Janeiro,44,1,1,0,1,acept,furnished,360,1600,0
Porto Alegre,563,3,6,4,12,acept,not furnished,5200,15000,1250
Rio de Janeiro,65,2,2,0,2,not acept,not furnished,150,1700,84
Rio de Janeiro,170,2,2,1,9,acept,not furnished,884,2940,80
Belo Horizonte,22,1,1,1,1,not acept,furnished,0,1500,0
Belo Horizonte,410,4,4,4,0,acept,furnished,0,4900,466
Rio de Janeiro,60,2,1,1,2,acept,not furnished,561,1400,41
São Paulo,47,1,1,0,7,acept,not furnished,890,2700,178
São Paulo,72,2,2,0,10,acept,not furnished,820,1500,70
Belo Horizonte,157,4,3,3,3,acept,furnished,1717,9000,108
São Paulo,280,3,4,2,0,acept,not furnished,0,7000,584
Rio de Janeiro,68,3,2,1,14,acept,not furnished,830,1050,82
Campinas,56,1,1,0,3,not acept,not furnished,428,560,17
São Paulo,140,2,4,1,11,acept,not furnished,2200,8900,300
Campinas,50,2,1,0,2,not acept,not furnished,386,830,55
Campinas,40,2,1,1,3,acept,not furnished,320,1200,70
São Paulo,260,3,4,4,4,acept,furnished,5000,12000,0
São Paulo,700,6,8,8,0,acept,furnished,0,14000,1020
São Paulo,130,2,1,0,0,acept,furnished,0,1900,292
São Paulo,215,3,2,0,4,not acept,not furnished,1054,4000,229
Rio de Janeiro,300,4,3,2,1,acept,not furnished,2500,4500,796
São Paulo,250,4,5,4,1,acept,not furnished,4200,12000,1667
Rio de Janeiro,80,2,2,1,7,acept,furnished,1180,5435,207
Porto Alegre,54,2,1,0,13,acept,furnished,460,1200,41
Campinas,57,1,2,1,12,not acept,not furnished,660,650,0
São Paulo,130,3,2,1,9,not acept,not furnished,1500,4500,0
São Paulo,48,1,1,2,15,not acept,furnished,2121,6800,400
Porto Alegre,318,4,3,0,0,acept,not furnished,0,19000,384
São Paulo,77,1,2,1,29,acept,furnished,750,7740,209
São Paulo,42,1,1,1,14,acept,furnished,1202,2650,243
Rio de Janeiro,74,3,1,0,0,acept,not furnished,0,1600,40
São Paulo,452,4,6,4,13,acept,not furnished,3033,9980,2500
Porto Alegre,41,1,2,1,6,acept,not furnished,400,2400,67
São Paulo,90,2,2,2,1,acept,not furnished,1200,1917,275
Rio de Janeiro,145,1,3,1,5,not acept,furnished,1200,8000,537
São Paulo,70,1,2,0,2,acept,not furnished,450,2035,111
São Paulo,180,3,4,5,0,acept,not furnished,0,3300,266
São Paulo,68,2,1,0,12,acept,not furnished,470,1300,50
São Paulo,300,4,4,3,0,acept,not furnished,0,10000,767
São Paulo,270,3,3,1,0,acept,furnished,0,6500,23
São Paulo,63,1,1,1,3,acept,not furnished,298,650,0
São Paulo,140,2,3,1,3,acept,furnished,1306,5000,250
São Paulo,220,5,4,3,0,not acept,not furnished,0,8000,425
São Paulo,90,3,2,2,5,acept,not furnished,1478,2500,355
São Paulo,62,2,2,1,2,not acept,furnished,733,3200,129
São Paulo,55,1,1,0,1,not acept,not furnished,140,770,0
Belo Horizonte,170,3,2,3,0,acept,not furnished,0,4000,180
Belo Horizonte,75,3,2,1,1,acept,not furnished,290,1100,90
São Paulo,150,3,4,3,10,acept,not furnished,1700,2490,375
Porto Alegre,270,4,4,2,0,acept,not furnished,0,7000,200
Porto Alegre,55,2,1,0,1,not acept,not furnished,185,1500,27
Rio de Janeiro,38,1,1,0,4,not acept,not furnished,457,1050,0
Porto Alegre,87,2,2,1,2,acept,not furnished,580,1970,117
Belo Horizonte,26,1,1,1,1,acept,not furnished,60,750,67
Belo Horizonte,384,5,4,6,0,not acept,not furnished,0,5000,435
Belo Horizonte,62,2,1,1,2,acept,not furnished,100,1050,84
São Paulo,70,2,1,1,6,acept,not furnished,900,1750,50
Porto Alegre,48,1,1,1,8,acept,furnished,1580,1288,0
São Paulo,396,4,4,4,0,acept,not furnished,0,10000,750
Rio de Janeiro,480,3,4,1,3,acept,not furnished,5200,7000,1201
Belo Horizonte,230,4,4,3,3,acept,not furnished,1700,6300,431
Rio de Janeiro,60,1,1,0,5,acept,not furnished,650,2210,84
Rio de Janeiro,80,2,2,2,2,acept,not furnished,1088,1900,420
Rio de Janeiro,150,4,3,3,5,acept,not furnished,1609,7500,525
Belo Horizonte,85,3,1,0,2,not acept,not furnished,150,1100,150
São Paulo,25,1,1,0,14,acept,not furnished,304,2200,60
Porto Alegre,105,3,3,0,3,acept,not furnished,840,2125,111
São Paulo,144,4,2,2,6,acept,not furnished,1820,4800,667
Belo Horizonte,80,3,2,2,30,acept,not furnished,750,2600,164
São Paulo,100,1,1,0,0,acept,not furnished,0,1530,84
Belo Horizonte,649,5,5,6,0,acept,furnished,0,15000,1065
Porto Alegre,55,2,1,1,2,acept,not furnished,300,850,30
Porto Alegre,68,2,2,1,2,acept,not furnished,400,1800,82
São Paulo,265,3,3,0,0,acept,not furnished,0,8500,475
São Paulo,96,2,1,0,9,acept,furnished,940,4387,3
Belo Horizonte,241,5,4,3,0,acept,not furnished,0,5200,310
Rio de Janeiro,65,2,1,1,8,acept,not furnished,610,900,88
Campinas,71,2,1,1,3,acept,not furnished,670,1130,114
São Paulo,90,1,1,0,1,not acept,not furnished,200,1550,167
São Paulo,90,3,2,0,9,acept,not furnished,900,2100,84
Campinas,42,1,1,1,9,acept,not furnished,460,1020,42
